01-31 17:25 WARNING  Partitioning data
02-01 23:33 WARNING  >>>>>>>>>>>>> in comm round: 33 from 50
02-01 23:37 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 23:42 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 23:47 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 23:52 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 23:57 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 00:02 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 00:07 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 00:11 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 00:16 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 00:21 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 00:26 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 00:26 WARNING  >>>>>>>>>>>>> in comm round: 34 from 50
02-02 00:31 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 00:36 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 00:41 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 00:45 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 00:51 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 00:56 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 01:00 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 01:05 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 01:10 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 01:15 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 01:20 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 01:20 WARNING  >>>>>>>>>>>>> in comm round: 35 from 50
02-02 01:25 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 01:30 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 01:34 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 01:39 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 01:44 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 01:49 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 01:54 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 01:59 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 02:04 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 02:08 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 02:13 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 02:13 WARNING  >>>>>>>>>>>>> in comm round: 36 from 50
02-02 02:18 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 02:23 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 02:28 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 02:32 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 02:37 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 02:42 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 02:47 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 02:52 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 02:56 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 03:01 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 03:06 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 03:06 WARNING  >>>>>>>>>>>>> in comm round: 37 from 50
02-02 03:11 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 03:16 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 03:21 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 03:26 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 03:31 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 03:36 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 03:41 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 03:46 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 03:51 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 03:56 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 04:01 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 04:01 WARNING  >>>>>>>>>>>>> in comm round: 38 from 50
02-02 04:07 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 04:12 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 04:17 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 04:21 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 04:26 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 04:31 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 04:37 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 04:42 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 04:47 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 04:52 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 04:56 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 04:57 WARNING  >>>>>>>>>>>>> in comm round: 39 from 50
02-02 05:02 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 05:07 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 05:12 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 05:16 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 05:21 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 05:26 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 05:31 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 05:36 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 05:40 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 05:46 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 05:51 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 05:51 WARNING  >>>>>>>>>>>>> in comm round: 40 from 50
02-02 05:56 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 06:01 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 06:05 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 06:10 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 06:15 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 06:19 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 06:24 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 06:30 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 06:36 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 06:41 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 06:46 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 06:46 WARNING  >>>>>>>>>>>>> in comm round: 41 from 50
02-02 06:51 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 06:56 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 07:00 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 07:05 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 07:11 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 07:15 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 07:20 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 07:24 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 07:29 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 07:34 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 07:39 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 07:39 WARNING  >>>>>>>>>>>>> in comm round: 42 from 50
02-02 07:44 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 07:49 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 07:54 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 07:58 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 08:03 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 08:08 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 08:13 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 08:17 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 08:22 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 08:27 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 08:33 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 08:34 WARNING  >>>>>>>>>>>>> in comm round: 43 from 50
02-02 08:39 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 08:44 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 08:49 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 08:53 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 08:58 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 09:03 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 09:08 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 09:13 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 09:17 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 09:22 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 09:27 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 09:27 WARNING  >>>>>>>>>>>>> in comm round: 44 from 50
02-02 09:32 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 09:37 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 09:41 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 09:46 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 09:51 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 09:56 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 10:00 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 10:05 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 10:10 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 10:15 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 10:19 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 10:20 WARNING  >>>>>>>>>>>>> in comm round: 45 from 50
02-02 10:24 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 10:29 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 10:34 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 10:39 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 10:44 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 10:48 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 10:53 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 10:58 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 11:02 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 11:07 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 11:12 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 11:12 WARNING  >>>>>>>>>>>>> in comm round: 46 from 50
02-02 11:17 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 11:22 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 11:26 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 11:31 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 11:35 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 11:40 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 11:45 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 11:50 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 11:55 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 11:59 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 12:04 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 12:04 WARNING  >>>>>>>>>>>>> in comm round: 47 from 50
02-02 12:10 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 12:15 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 12:20 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 12:25 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 12:32 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 12:37 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 12:42 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 12:47 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 12:53 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 12:58 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 13:04 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 13:04 WARNING  >>>>>>>>>>>>> in comm round: 48 from 50
02-02 13:11 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 13:16 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 13:21 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 13:26 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 13:31 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 13:35 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 13:40 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 13:45 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 13:50 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 13:55 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 14:00 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 14:00 WARNING  >>>>>>>>>>>>> in comm round: 49 from 50
02-02 14:05 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-02 14:11 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-02 14:17 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-02 14:22 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-02 14:27 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-02 14:32 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-02 14:37 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-02 14:42 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-02 14:48 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-02 14:53 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-02 14:58 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-02 15:01 WARNING  Execution time: 45 hours, 36 minutes, 8.76 seconds
